[457.195, -50.004, 570.37, 177.131, -1.512, -2.359]
[467.195, -50.002, 570.37, 177.131, -1.512, -2.359]
[467.195, -40.006, 570.37, 177.131, -1.512, -2.359]
[467.195, -40.004, 580.371, 177.131, -1.512, -2.359]
[467.195, -70.001, 580.37, -172.869, -1.512, -2.359]
[467.195, -100.002, 580.37, -172.869, -1.512, -2.359]
[467.195, -20.005, 580.37, 167.132, -1.512, -2.359]
[467.195, 19.995, 580.37, 167.131, -1.512, -2.359]
[507.195, -50.002, 570.37, 177.13, 8.488, -2.359]
[507.195, -30.006, 570.37, 177.131, 8.488, -2.359]
[507.195, -30.003, 590.37, 177.131, 8.488, -2.359]
[507.195, -80.001, 590.369, -172.869, 8.488, -2.359]
[507.196, -110.0, 590.37, -172.869, 8.488, -2.359]
[507.195, -30.005, 590.37, 167.132, 8.488, -2.359]
[507.195, 9.994, 590.37, 167.131, 8.488, -2.359]
[407.195, -50.001, 570.37, 177.131, -11.512, -2.359]
[407.195, -30.004, 570.371, 177.132, -11.512, -2.36]
[407.195, -30.003, 590.37, 177.131, -11.512, -2.359]
[407.195, -80.001, 590.37, -172.87, -11.512, -2.359]
[407.195, -110.002, 590.369, -172.869, -11.512, -2.359]
[407.195, -30.004, 590.37, 167.132, -11.512, -2.36]
[407.195, 9.994, 590.37, 167.131, -11.512, -2.359]
