[447.195, -50.004, 570.37, 177.131, -1.512, -2.359]
[457.195, -50.004, 570.37, 177.13, -1.512, -2.358]
[457.195, -40.005, 570.37, 177.131, -1.512, -2.359]
[457.195, -40.004, 580.37, 177.131, -1.512, -2.359]
[457.195, -70.002, 580.37, -172.869, -1.512, -2.359]
[457.195, -100.002, 580.37, -172.869, -1.512, -2.359]
[457.195, -20.005, 580.37, 167.131, -1.512, -2.359]
[457.195, 19.994, 580.37, 167.131, -1.512, -2.359]
[497.195, -50.002, 570.37, 177.13, 8.488, -2.359]
[497.195, -30.005, 570.37, 177.131, 8.488, -2.359]
[497.195, -30.002, 590.37, 177.131, 8.488, -2.359]
[497.195, -80.002, 590.37, -172.869, 8.488, -2.359]
[497.196, -110.001, 590.37, -172.869, 8.488, -2.359]
[497.195, -30.004, 590.371, 167.131, 8.488, -2.359]
[497.196, 9.994, 590.37, 167.131, 8.488, -2.359]
[397.195, -50.002, 570.371, 177.13, -11.512, -2.358]
[397.195, -30.004, 570.371, 177.131, -11.512, -2.359]
[397.195, -30.003, 590.37, 177.131, -11.512, -2.359]
[397.195, -80.002, 590.369, -172.869, -11.512, -2.358]
[397.195, -110.002, 590.37, -172.869, -11.512, -2.359]
[397.195, -30.004, 590.37, 167.132, -11.512, -2.36]
[397.195, 9.995, 590.37, 167.131, -11.512, -2.359]
