[437.195, -50.005, 570.37, 177.132, -1.512, -2.359]
[447.195, -50.003, 570.37, 177.132, -1.512, -2.359]
[447.195, -40.007, 570.37, 177.132, -1.512, -2.359]
[447.195, -40.005, 580.37, 177.132, -1.512, -2.359]
[447.195, -70.004, 580.37, -172.868, -1.512, -2.359]
[447.195, -100.003, 580.37, -172.868, -1.512, -2.359]
[447.195, -20.006, 580.37, 167.132, -1.512, -2.36]
[447.195, 19.993, 580.37, 167.132, -1.512, -2.359]
[487.195, -50.003, 570.37, 177.132, 8.488, -2.359]
[487.195, -30.008, 570.37, 177.132, 8.488, -2.359]
[487.195, -30.005, 590.37, 177.132, 8.488, -2.359]
[487.195, -80.004, 590.37, -172.869, 8.488, -2.359]
[487.196, -110.002, 590.37, -172.868, 8.488, -2.359]
[487.195, -30.005, 590.371, 167.133, 8.488, -2.359]
[487.195, 9.993, 590.37, 167.132, 8.488, -2.359]
[387.195, -50.003, 570.37, 177.133, -11.512, -2.36]
[387.195, -30.006, 570.37, 177.133, -11.512, -2.36]
[387.195, -30.005, 590.37, 177.132, -11.512, -2.359]
[387.194, -80.004, 590.37, -172.869, -11.512, -2.359]
[387.195, -110.004, 590.37, -172.868, -11.512, -2.359]
[387.195, -30.005, 590.37, 167.133, -11.512, -2.36]
[387.195, 9.994, 590.37, 167.132, -11.512, -2.36]
